"id","icf_master_id"
1,"10041591L"
2,"10044056A"
3,"10054956K"
4,"10072199B"
5,"10099607C"
6,"10108768L"
7,"10139471C"
8,"10147467F"
9,"10181174G"
10,"10184270B"
11,"10187456C"
12,"10193035F"
13,"10252944J"
14,"10270241E"
15,"10273410H"
16,"10284332J"
17,"10317810B"
18,"10336460B"
19,"10356777A"
20,"10402924H"
21,"10408650H"
22,"10413720H"
23,"10437805C"
24,"10449433F"
25,"10458879A"
26,"10461317E"
27,"10468433G"
28,"10473576E"
29,"10505149B"
30,"10511153G"
31,"10523514L"
32,"10538265C"
33,"10549060L"
34,"10551828A"
35,"10566418L"
36,"10581635B"
37,"10602442J"
38,"10617330J"
39,"10629743C"
40,"10679492C"
41,"10692049G"
42,"10699357F"
43,"10721152J"
44,"10731709F"
45,"10763406G"
46,"10809270E"
47,"10823463L"
48,"10832370C"
49,"10842775A"
50,"10860984A"
51,"10949494F"
52,"10972421H"
53,"11004213H"
54,"11019160G"
55,"11046145K"
56,"11077602A"
57,"11125121F"
58,"11125399G"
59,"11141864H"
60,"11144133K"
61,"11166464L"
62,"11177520K"
63,"11182350E"
64,"11186756L"
65,"11215927H"
66,"11252870A"
67,"11309282F"
68,"11314967A"
69,"11323697K"
70,"11324444L"
71,"11345327C"
72,"11380358L"
73,"11407304H"
74,"11408979J"
75,"11412996B"
76,"11420296L"
77,"11449483C"
78,"11464767H"
79,"11480103A"
80,"11483919H"
81,"11493154F"
82,"11503550F"
83,"11515733A"
84,"11521551G"
85,"11524521E"
86,"11539375F"
87,"11547746E"
88,"11588279L"
89,"11676176J"
90,"11680554C"
91,"11700987B"
92,"11715663A"
93,"11741882K"
94,"11742719F"
95,"11780820G"
96,"11790698J"
97,"11820487L"
98,"11834527G"
99,"11855055C"
100,"11874810C"
101,"11877637K"
102,"11889841K"
103,"11918802A"
104,"11926114B"
105,"11939313C"
106,"11948757C"
107,"11979196J"
108,"12017691B"
109,"12021662C"
110,"12023087E"
111,"12028448L"
112,"12058031H"
113,"12066599K"
114,"12110228G"
115,"12111855F"
116,"12132881A"
117,"12145616F"
118,"12176683K"
119,"12217345L"
120,"12220585B"
121,"12240350B"
122,"12252582L"
123,"12270253C"
124,"12274735B"
125,"12307301B"
126,"12313893A"
127,"12419733H"
128,"12438764B"
129,"12485327C"
130,"12492941A"
131,"12527254K"
132,"12532925G"
133,"12538391H"
